request_id,hospital_id,blood_type,units_requested,units_fulfilled,date,urgency_level,fulfillment_rate
1,29,AB+,10,8,2024-06-25,Routine,0.805
2,16,B+,2,2,2022-05-03,Routine,0.99
3,31,B+,2,1,2023-03-17,Routine,0.69
4,78,O+,2,2,2024-08-16,Routine,0.988
5,55,A+,5,4,2024-04-25,Routine,0.794
6,66,AB+,3,2,2022-12-27,Urgent,0.721
7,70,O+,7,5,2023-05-26,Routine,0.78
8,62,O+,1,1,2022-07-30,Urgent,0.772
9,71,O+,4,3,2023-05-29,Urgent,0.813
10,55,AB+,4,3,2023-06-21,Routine,0.677
11,70,B+,6,5,2022-11-06,Urgent,0.881
12,13,A+,10,8,2024-04-29,Routine,0.82
13,13,O+,5,5,2022-02-25,Urgent,0.961
14,19,A+,3,2,2022-09-18,Urgent,0.773
15,61,O+,6,5,2022-11-01,Urgent,0.835
16,49,O+,6,5,2023-05-01,Emergency,0.859
17,65,O+,6,6,2024-11-18,Routine,0.947
18,19,O+,9,6,2023-08-15,Routine,0.626
19,33,O+,4,3,2022-04-07,Urgent,0.7
20,14,A+,8,6,2022-11-12,Routine,0.691
21,71,B+,6,4,2022-01-08,Emergency,0.707
22,78,A+,4,3,2023-04-30,Urgent,0.702
23,45,A+,6,4,2024-08-21,Urgent,0.717
24,46,O+,8,6,2023-03-10,Routine,0.804
25,60,B-,10,7,2023-06-21,Urgent,0.687
26,56,B+,6,5,2023-07-01,Urgent,0.799
27,1,O+,10,8,2022-08-25,Routine,0.761
28,75,A+,2,2,2022-02-25,Routine,0.863
29,11,AB+,3,3,2022-02-26,Urgent,0.898
30,49,A+,7,5,2024-03-14,Urgent,0.698
31,77,A+,3,2,2023-02-06,Routine,0.638
32,46,O+,9,6,2022-10-01,Urgent,0.642
33,17,A+,6,6,2024-10-21,Routine,0.954
34,32,O+,4,3,2023-05-19,Routine,0.653
35,63,A+,3,2,2024-05-10,Urgent,0.735
36,21,A+,7,6,2023-04-17,Urgent,0.892
37,51,B+,6,6,2022-01-04,Urgent,0.967
38,67,O+,1,1,2023-02-19,Routine,0.866
39,13,O+,3,3,2023-11-26,Urgent,0.947
40,28,O+,7,6,2023-02-17,Routine,0.879
41,54,O+,1,1,2023-10-18,Urgent,0.832
42,7,O+,3,3,2024-04-07,Urgent,0.952
43,18,B+,6,3,2024-07-06,Emergency,0.549
44,62,AB-,1,0,2023-07-20,Routine,0.276
45,55,O+,2,2,2024-08-15,Routine,0.838
46,41,B-,7,2,2023-09-08,Routine,0.333
47,18,AB+,7,6,2023-09-06,Routine,0.834
48,31,A+,3,3,2022-10-13,Routine,0.893
49,52,O+,9,8,2022-07-16,Urgent,0.939
50,1,B+,10,9,2024-05-29,Urgent,0.949
51,14,A+,4,4,2022-10-28,Urgent,0.972
52,60,B+,2,1,2022-11-09,Routine,0.655
53,7,A+,2,2,2022-11-14,Routine,0.934
54,44,O+,10,9,2024-11-16,Urgent,0.889
55,17,A+,8,6,2023-08-17,Routine,0.707
56,68,O+,4,3,2024-11-21,Urgent,0.675
57,10,O+,6,5,2022-06-15,Urgent,0.866
58,33,O+,3,2,2024-01-12,Routine,0.603
59,38,O+,6,4,2023-08-03,Urgent,0.67
60,12,A+,4,3,2022-06-03,Urgent,0.685
61,10,O+,5,3,2024-10-10,Routine,0.627
62,11,B+,4,3,2022-02-04,Emergency,0.691
63,6,AB+,2,2,2024-07-27,Urgent,0.878
64,48,A+,3,3,2023-12-10,Routine,0.959
65,6,A+,2,2,2022-06-05,Routine,0.861
66,5,A+,5,5,2022-11-10,Emergency,0.994
67,52,A-,3,2,2023-04-27,Emergency,0.616
68,48,O+,7,5,2024-12-02,Routine,0.693
69,49,A+,9,6,2023-09-01,Routine,0.662
70,54,B+,7,5,2023-05-24,Routine,0.65
71,22,O+,10,9,2024-12-10,Routine,0.858
72,30,O+,4,3,2024-06-03,Routine,0.789
73,31,B+,10,9,2023-03-07,Urgent,0.946
74,44,O+,5,3,2023-12-02,Routine,0.635
75,71,A+,10,8,2022-04-07,Routine,0.799
76,7,O+,9,7,2024-03-08,Urgent,0.751
77,4,A+,9,9,2024-09-17,Urgent,0.954
78,23,O+,7,5,2023-04-09,Routine,0.757
79,6,O+,9,8,2022-05-28,Routine,0.908
80,1,AB-,10,5,2023-07-15,Emergency,0.468
81,28,A+,6,5,2023-10-10,Routine,0.767
82,4,A+,3,3,2022-11-12,Emergency,0.84
83,12,O+,6,6,2024-09-15,Routine,0.981
84,45,A+,7,6,2022-08-28,Routine,0.867
85,8,AB+,7,5,2022-11-04,Routine,0.782
86,14,A-,8,5,2022-03-25,Routine,0.65
87,52,AB-,3,2,2022-09-16,Routine,0.519
88,64,B+,5,3,2023-07-11,Urgent,0.636
89,46,A+,5,4,2023-04-17,Urgent,0.842
90,26,A+,1,1,2022-08-18,Urgent,0.952
91,16,A+,2,2,2023-09-03,Urgent,0.818
92,72,A+,6,5,2024-06-16,Routine,0.769
93,36,A+,7,6,2022-02-17,Routine,0.864
94,68,A+,1,1,2022-12-31,Urgent,0.928
95,19,O+,10,7,2022-12-03,Urgent,0.653
96,3,A+,8,5,2022-06-20,Urgent,0.682
97,79,A+,10,7,2023-02-18,Routine,0.673
98,8,B+,10,9,2024-11-14,Urgent,0.947
99,64,O+,6,3,2024-08-13,Emergency,0.581
100,27,A+,6,6,2024-08-10,Routine,0.923
101,77,O+,9,8,2024-02-22,Routine,0.87
102,76,O+,8,7,2022-01-16,Routine,0.873
103,62,O+,4,3,2023-12-30,Routine,0.838
104,14,O-,5,1,2024-01-01,Routine,0.238
105,43,A+,5,4,2024-04-29,Routine,0.739
106,13,O+,3,2,2023-07-18,Urgent,0.782
107,50,B+,1,1,2023-06-11,Routine,0.808
108,10,O+,6,4,2024-10-17,Urgent,0.63
109,23,O+,3,2,2024-10-20,Urgent,0.789
110,74,AB+,1,1,2023-06-12,Urgent,0.982
111,61,O+,6,5,2022-12-19,Urgent,0.774
112,28,A+,5,4,2023-06-07,Routine,0.723
113,28,O+,8,6,2022-04-14,Routine,0.798
114,53,A+,7,5,2023-08-02,Routine,0.656
115,12,O+,7,6,2024-08-10,Routine,0.908
116,30,B+,8,6,2024-11-04,Routine,0.714
117,44,O+,9,7,2023-06-02,Urgent,0.733
118,65,A+,4,3,2022-11-12,Routine,0.763
119,20,A+,5,5,2023-10-07,Emergency,0.98
120,48,AB+,5,5,2022-08-28,Routine,0.963
121,65,O-,9,6,2022-01-03,Routine,0.696
122,76,AB+,5,4,2023-07-18,Urgent,0.871
123,70,A+,7,6,2024-08-11,Urgent,0.793
124,76,O+,9,6,2022-10-30,Urgent,0.676
125,30,O+,7,6,2023-04-05,Emergency,0.789
126,27,A+,4,3,2022-12-18,Routine,0.633
127,61,B+,10,7,2024-05-14,Urgent,0.748
128,12,A+,3,3,2023-06-29,Routine,0.844
129,75,A+,2,2,2023-10-23,Emergency,0.93
130,71,B+,8,6,2023-01-29,Routine,0.703
131,40,AB-,2,1,2022-12-05,Urgent,0.293
132,21,A+,10,10,2022-07-02,Urgent,0.996
133,66,A+,5,4,2024-03-22,Urgent,0.743
134,18,A+,10,6,2022-08-13,Routine,0.639
135,4,A+,2,1,2022-05-03,Urgent,0.675
136,69,O+,3,2,2022-10-08,Urgent,0.787
137,39,O+,10,8,2023-06-25,Emergency,0.79
138,47,O+,8,8,2022-02-28,Routine,0.985
139,18,B-,5,1,2022-09-14,Routine,0.236
140,64,O+,2,1,2023-02-24,Routine,0.631
141,40,B+,10,9,2023-11-29,Urgent,0.876
142,40,O+,8,5,2024-04-10,Urgent,0.632
143,60,B+,2,1,2024-02-19,Emergency,0.727
144,11,AB+,10,7,2022-08-19,Routine,0.684
145,70,O+,9,8,2023-02-06,Urgent,0.881
146,25,B+,10,9,2023-11-22,Emergency,0.935
147,13,O+,4,3,2023-01-25,Urgent,0.792
148,34,O+,5,3,2024-07-20,Urgent,0.6
149,34,O+,5,5,2023-01-25,Routine,0.949
150,1,A+,8,6,2022-01-29,Urgent,0.695
151,41,AB+,2,1,2022-08-23,Emergency,0.605
152,27,A+,1,1,2023-11-12,Emergency,0.552
153,75,B+,5,4,2023-06-17,Urgent,0.774
154,78,O+,2,2,2022-11-17,Routine,0.941
155,7,B+,6,4,2024-07-18,Urgent,0.728
156,1,O+,5,4,2022-12-08,Urgent,0.749
157,76,A+,9,8,2022-10-25,Urgent,0.875
158,67,A-,5,1,2024-12-02,Routine,0.265
159,72,A+,10,7,2022-02-01,Routine,0.712
160,66,O+,2,1,2023-08-14,Urgent,0.617
161,23,B+,2,2,2024-05-05,Routine,0.829
162,58,A-,6,2,2024-11-13,Urgent,0.308
163,18,A+,9,7,2022-09-01,Emergency,0.78
164,20,A+,10,8,2024-06-18,Routine,0.782
165,65,O+,6,5,2022-06-24,Urgent,0.866
166,70,O+,4,4,2022-04-24,Emergency,0.877
167,10,A+,1,1,2024-06-10,Routine,0.791
168,70,O+,10,8,2022-12-04,Emergency,0.821
169,35,A+,2,2,2023-03-04,Routine,0.755
170,25,A+,2,2,2024-12-16,Routine,0.802
171,50,A+,6,6,2024-02-16,Routine,0.945
172,44,A+,6,6,2022-07-20,Urgent,0.92
173,68,A+,5,3,2022-06-24,Urgent,0.653
174,53,O+,1,1,2023-05-11,Routine,0.762
175,56,A-,3,1,2022-01-10,Routine,0.472
176,62,B+,3,2,2024-10-05,Emergency,0.604
177,47,A+,10,10,2023-06-08,Routine,0.987
178,17,AB+,10,9,2023-06-03,Routine,0.882
179,60,A+,10,9,2023-09-29,Urgent,0.868
180,73,O+,1,1,2022-12-12,Routine,0.802
181,16,B+,8,6,2023-04-21,Urgent,0.74
182,30,O+,10,9,2022-11-08,Urgent,0.87
183,73,B-,10,7,2022-07-01,Routine,0.673
184,20,B+,5,3,2024-06-13,Routine,0.673
185,51,B+,1,1,2023-05-21,Urgent,0.715
186,51,O-,6,1,2024-05-28,Routine,0.209
187,41,AB+,7,6,2023-08-04,Emergency,0.922
188,60,O+,8,6,2022-02-24,Urgent,0.697
189,30,O+,2,2,2022-12-06,Routine,0.998
190,55,B+,3,2,2024-04-22,Emergency,0.659
191,9,O+,6,4,2024-02-17,Routine,0.685
192,42,A+,5,5,2023-10-28,Routine,0.99
193,47,O+,2,1,2024-09-29,Routine,0.669
194,74,B+,4,2,2023-07-28,Emergency,0.553
195,62,O+,1,1,2024-08-22,Emergency,0.556
196,55,A+,2,1,2023-06-04,Urgent,0.623
197,69,A+,1,1,2022-10-12,Urgent,0.931
198,57,O-,2,1,2022-10-13,Urgent,0.506
199,47,AB+,6,5,2022-12-21,Urgent,0.784
200,27,A+,3,2,2022-03-23,Routine,0.798
201,71,O+,3,3,2023-08-16,Urgent,0.928
202,12,O-,6,3,2022-06-14,Urgent,0.542
203,17,A+,9,7,2022-08-25,Urgent,0.751
204,19,A+,10,7,2024-06-30,Routine,0.67
205,42,B+,2,1,2022-12-26,Urgent,0.688
206,27,O+,9,8,2022-07-29,Emergency,0.893
207,11,A+,3,2,2023-12-19,Routine,0.653
208,12,A+,6,6,2022-09-30,Routine,0.996
209,40,AB+,2,2,2023-09-19,Routine,0.8
210,39,O+,2,1,2023-01-21,Emergency,0.676
211,63,B+,7,6,2023-01-25,Routine,0.837
212,26,O+,3,2,2024-09-29,Routine,0.826
213,74,B+,7,5,2022-09-06,Urgent,0.748
